# targets 
33
64
36
57
85
90
80
80
85
97
59
55
40
61
27
85
49
65
88
78
# prob. matrix 
   0,8650   0,6526   0,8473   0,6424   0,8083   0,8635   0,7884   0,6945   0,6944   0,8820   0,7047   0,8169   0,7748   0,8629   0,7979   0,6319   0,8106   0,7128   0,6748   0,6749
   0,6807   0,7413   0,6550   0,6877   0,6892   0,8851   0,8225   0,8229   0,7887   0,6180   0,8108   0,8972   0,7608   0,7111   0,7875   0,6810   0,7118   0,7367   0,7359   0,7895
   0,8550   0,8053   0,8070   0,7337   0,8647   0,8986   0,7348   0,7128   0,8951   0,8986   0,8825   0,7662   0,8609   0,6322   0,6972   0,8675   0,6805   0,8333   0,7200   0,6273
   0,8823   0,8816   0,7036   0,8768   0,7675   0,6107   0,7497   0,8333   0,7197   0,8742   0,6801   0,6969   0,8379   0,8373   0,7075   0,7031   0,8588   0,7014   0,8693   0,7437
   0,7154   0,7914   0,7315   0,7908   0,7616   0,7200   0,7616   0,6905   0,8680   0,7064   0,7076   0,8550   0,6682   0,6602   0,8051   0,6630   0,8084   0,8426   0,8668   0,8798
   0,7173   0,7979   0,7868   0,8346   0,7798   0,7931   0,7180   0,7392   0,8620   0,7251   0,8546   0,6001   0,7876   0,7471   0,6695   0,7684   0,6284   0,6291   0,7226   0,6807
   0,7169   0,8047   0,8724   0,7837   0,8435   0,7620   0,7779   0,7867   0,8447   0,8171   0,8903   0,8653   0,8298   0,8617   0,7834   0,8430   0,6373   0,8960   0,8760   0,6931
   0,8444   0,7571   0,6434   0,6526   0,6915   0,7170   0,8129   0,6019   0,7083   0,7668   0,8773   0,7525   0,7600   0,6100   0,7495   0,6949   0,6542   0,8754   0,8169   0,6889
   0,6701   0,6107   0,8343   0,7317   0,8898   0,7465   0,7247   0,6155   0,8259   0,6187   0,6326   0,8804   0,6525   0,6060   0,8968   0,7908   0,8527   0,6834   0,8785   0,7993
   0,6044   0,7048   0,7981   0,8293   0,7243   0,8145   0,6963   0,8885   0,7936   0,7451   0,7455   0,6325   0,6818   0,6887   0,7945   0,6268   0,8787   0,7293   0,6332   0,8035
   0,8343   0,8992   0,7144   0,6830   0,6946   0,8652   0,7684   0,7224   0,8009   0,8691   0,7889   0,8691   0,8059   0,6364   0,6614   0,6361   0,7323   0,6250   0,6431   0,7729
   0,6754   0,8225   0,6876   0,6888   0,6250   0,8028   0,8412   0,6875   0,8443   0,6276   0,8146   0,6972   0,6132   0,7326   0,8612   0,8267   0,6020   0,7507   0,8640   0,6475
   0,8019   0,8229   0,7542   0,7916   0,6923   0,8083   0,8501   0,7671   0,7785   0,8413   0,7175   0,7294   0,8823   0,8918   0,6143   0,6991   0,8134   0,7637   0,6881   0,8990
   0,8927   0,6190   0,7485   0,6810   0,8388   0,7370   0,6385   0,6334   0,6647   0,8146   0,8757   0,8077   0,8663   0,6793   0,8281   0,7647   0,8131   0,7277   0,7318   0,8291
   0,8811   0,7105   0,7444   0,7522   0,8893   0,8700   0,8660   0,6111   0,7246   0,6886   0,6366   0,7274   0,6554   0,6355   0,7538   0,8633   0,8525   0,7953   0,6246   0,7482
   0,6422   0,6332   0,8911   0,8102   0,7311   0,6938   0,8388   0,7252   0,7423   0,8437   0,8117   0,6589   0,7081   0,8551   0,7212   0,6630   0,7620   0,7833   0,6485   0,8911
   0,6699   0,7239   0,7934   0,6289   0,6316   0,7331   0,7293   0,6825   0,8745   0,7708   0,6732   0,8417   0,7494   0,7700   0,6776   0,8267   0,8184   0,8529   0,6954   0,8443
   0,6083   0,7052   0,7611   0,7163   0,7789   0,8773   0,7674   0,7006   0,8297   0,8172   0,8057   0,6100   0,8401   0,8424   0,6650   0,6327   0,6048   0,6361   0,7690   0,6871
   0,6927   0,6994   0,6507   0,6875   0,6174   0,6141   0,8417   0,7678   0,8674   0,8591   0,7689   0,8992   0,8981   0,7918   0,8196   0,7523   0,7409   0,6379   0,8495   0,6863
   0,8342   0,8427   0,6655   0,7054   0,7249   0,7164   0,6261   0,8001   0,8354   0,8564   0,6532   0,7910   0,8267   0,7551   0,6489   0,7141   0,7293   0,7934   0,7635   0,7321
