# targets 
75
35
67
88
98
64
62
61
44
55
78
90
65
75
79
59
59
51
42
76
81
70
28
81
81
38
47
45
56
39
98
49
74
76
74
69
53
96
72
30
66
78
28
31
86
94
95
66
100
52
# prob. matrix 
   0,7449   0,7201   0,6103   0,7214   0,6158   0,8659   0,7650   0,8036   0,7908   0,6619   0,7021   0,6444   0,7468   0,8081   0,7236   0,6386   0,7812   0,7275   0,6042   0,6523   0,8886   0,6212   0,8919   0,6149   0,8733   0,6463   0,7886   0,6151   0,6240   0,7404   0,6502   0,7493   0,8912   0,8428   0,8655   0,6919   0,7018   0,6526   0,7211   0,7879   0,8250   0,6124   0,6446   0,8074   0,6690   0,7105   0,7396   0,6518   0,8375   0,7665
   0,7748   0,7620   0,8048   0,7852   0,6825   0,6426   0,7899   0,7540   0,7410   0,6002   0,6084   0,8020   0,6717   0,7739   0,8703   0,7416   0,7740   0,6392   0,8596   0,7802   0,6467   0,7663   0,7878   0,6105   0,8010   0,6337   0,7542   0,7699   0,8699   0,8196   0,7660   0,8026   0,7413   0,6280   0,8839   0,8582   0,7086   0,6514   0,7470   0,7217   0,8285   0,7217   0,7109   0,8877   0,7086   0,6655   0,8922   0,6744   0,7099   0,6501
   0,8593   0,8078   0,7540   0,7879   0,8387   0,8065   0,6562   0,7555   0,8211   0,8549   0,6765   0,6864   0,6488   0,7681   0,7826   0,6008   0,7514   0,8292   0,7588   0,6594   0,7620   0,6144   0,8632   0,8505   0,7989   0,8153   0,8479   0,7605   0,7350   0,8250   0,6908   0,6224   0,7954   0,6643   0,7697   0,8947   0,8309   0,8993   0,7132   0,8837   0,8034   0,7351   0,6121   0,8032   0,6928   0,8592   0,6488   0,8442   0,6936   0,7615
   0,7186   0,7222   0,8120   0,7679   0,7620   0,7732   0,6001   0,6928   0,7090   0,8812   0,8768   0,6472   0,6523   0,7391   0,8782   0,8264   0,8184   0,7798   0,8629   0,8493   0,6856   0,7503   0,8605   0,7281   0,8230   0,7548   0,8995   0,6169   0,7733   0,6473   0,8864   0,7085   0,8919   0,6285   0,8230   0,7390   0,8775   0,8721   0,7514   0,7029   0,6842   0,8001   0,7035   0,6836   0,7977   0,8167   0,7004   0,7722   0,8822   0,7203
   0,7041   0,7658   0,7664   0,8267   0,6623   0,6215   0,6266   0,8610   0,8096   0,7842   0,8601   0,8102   0,6998   0,7049   0,8971   0,8708   0,7334   0,7308   0,6036   0,7801   0,6213   0,6626   0,8542   0,7790   0,6908   0,8599   0,8221   0,6293   0,6790   0,8095   0,6341   0,7857   0,7964   0,8706   0,8707   0,7150   0,8503   0,7705   0,7640   0,6540   0,8230   0,7368   0,6457   0,7053   0,7770   0,8326   0,7390   0,6913   0,6323   0,6928
   0,6565   0,8110   0,7082   0,8580   0,8773   0,6833   0,7616   0,6541   0,7124   0,6068   0,8719   0,6791   0,8468   0,7205   0,6295   0,6349   0,8545   0,6167   0,6729   0,8695   0,6275   0,7302   0,8939   0,7907   0,7360   0,8139   0,6885   0,7613   0,7545   0,7018   0,6732   0,6962   0,6302   0,7640   0,6128   0,8539   0,8556   0,6718   0,8184   0,8400   0,7216   0,8095   0,7697   0,6338   0,6771   0,8031   0,7930   0,6927   0,8078   0,7740
   0,7955   0,8996   0,6636   0,7766   0,7999   0,6826   0,8183   0,8371   0,8615   0,8646   0,7348   0,7800   0,7629   0,7848   0,8275   0,6043   0,6866   0,7785   0,7744   0,7606   0,7506   0,8068   0,8181   0,8758   0,6621   0,7910   0,7243   0,6781   0,6016   0,6284   0,8226   0,6884   0,7863   0,6511   0,6503   0,6732   0,7876   0,8274   0,6485   0,8819   0,6839   0,7112   0,6210   0,7396   0,6244   0,8993   0,8657   0,6173   0,7549   0,8828
   0,6176   0,7627   0,8167   0,7528   0,8107   0,6469   0,6799   0,8618   0,7645   0,6647   0,8964   0,7396   0,8363   0,8123   0,8768   0,8197   0,7499   0,7698   0,7919   0,6493   0,8128   0,6229   0,8835   0,6303   0,6761   0,7763   0,8362   0,8783   0,7571   0,7395   0,7140   0,8758   0,8577   0,6022   0,6018   0,6545   0,8475   0,8647   0,8118   0,8539   0,8590   0,7401   0,6214   0,8746   0,8504   0,7169   0,7970   0,8798   0,8366   0,7373
   0,6312   0,8882   0,8651   0,6381   0,8826   0,6530   0,8309   0,7882   0,6453   0,8336   0,8652   0,8625   0,6051   0,8338   0,6214   0,7040   0,7498   0,8109   0,7911   0,6460   0,6955   0,6506   0,7386   0,7973   0,6741   0,8460   0,6231   0,6346   0,7858   0,6309   0,7992   0,8952   0,8767   0,8815   0,8388   0,8204   0,7265   0,7277   0,7057   0,6713   0,6560   0,7001   0,7351   0,6138   0,7616   0,6850   0,7289   0,6577   0,8708   0,6621
   0,8674   0,7314   0,6853   0,8635   0,7623   0,6780   0,6315   0,6174   0,6377   0,6766   0,8769   0,6199   0,6185   0,6132   0,7979   0,7209   0,7338   0,6635   0,6883   0,7116   0,6068   0,6903   0,7937   0,7611   0,6994   0,7113   0,8323   0,6696   0,8099   0,6571   0,8234   0,6837   0,8907   0,8083   0,8930   0,7615   0,8512   0,8813   0,6517   0,8672   0,7464   0,7251   0,8586   0,8386   0,8204   0,6880   0,8818   0,7832   0,6784   0,8238
