# targets 
56
86
95
87
74
55
68
25
76
52
# prob. matrix 
   0,7835   0,8428   0,8244   0,7205   0,7110   0,6805   0,8446   0,8207   0,6252   0,7254
   0,7730   0,6651   0,8461   0,8774   0,6798   0,7943   0,8862   0,8551   0,6691   0,6172
   0,6986   0,7001   0,7197   0,8388   0,6186   0,6295   0,6780   0,6221   0,7932   0,6787
   0,8990   0,8128   0,8602   0,6627   0,6626   0,8031   0,6082   0,8618   0,8831   0,7880
   0,8387   0,7905   0,7835   0,8795   0,6396   0,6570   0,8129   0,8930   0,7857   0,6415
   0,6594   0,6999   0,7914   0,8385   0,8358   0,6582   0,8633   0,7976   0,7078   0,8812
   0,8315   0,6843   0,6793   0,8910   0,7775   0,8404   0,6593   0,6210   0,6264   0,6763
   0,8995   0,6859   0,8312   0,8589   0,8182   0,6251   0,6432   0,8762   0,6136   0,8481
   0,7420   0,7639   0,6112   0,8663   0,8839   0,7605   0,6963   0,7863   0,7263   0,8345
   0,7465   0,6674   0,6883   0,6768   0,7996   0,6019   0,7259   0,6933   0,6775   0,8742
